updated_as_on,project_name,application_status,payment_status,scrutiny_status,correction_status,extension_status,complain_against_status,comments
2024-10-10 15:26:43,LA VILLAGIO,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"1.In project details, plot No / CTS No. / Survey No. /Final Plot No. does not tally with CC. Kindly, correct as mention in CC. 2.Upload readable sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority., 3.The application will be scrutinized only on uploading the readable sanctioned layout/ building plans without splitting. 4.Upload Revalidated CC / plinth checking certificate/Appendix F as per Regulation No.2.8.4 of UDPCR-2020, also upload FORM 1, FORM 2 and update the task activity accordingly., 5.Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly, note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed. 6.In Form B mention CTS No/survey No./ Final plot No.as per sanctioned CC and Identification of the bldg./ wing as per sanction plan 7.Sanctioned FSI of the project applied for registration (Sanctioned Built-up Area in sq. mt.) does not tally with sanctioned plan. Kindly correct as per sanctioned plan and highlight on the plan. 8.In building details, No. of Basement/ Plinth/ Podium/ Sanctioned Floors/Stilts/Parking/Apartment Type/ Carpet Area/No of Apartments, does not tally with the sanctioned plan, kindly correct as per the sanctioned plan., 9.Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan 1.In project details, plot No / CTS No. / Survey No. /Final Plot No. does not tally with CC. Kindly, correct as mention in CC. 2.Upload readable sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority., 3.The application will be scrutinized only on uploading the readable sanctioned layout/ building plans without splitting. 4.Upload Revalidated CC / plinth checking certificate/Appendix F as per Regulation No.2.8.4 of UDPCR-2020, also upload FORM 1, FORM 2 and update the task activity accordingly., 5.Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly, note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed. 6.In Form B mention CTS No/survey No./ Final plot No.as per sanctioned CC and Identification of the bldg./ wing as per sanction plan 7.Sanctioned FSI of the project applied for registration (Sanctioned Built-up Area in sq. mt.) does not tally with sanctioned plan. Kindly correct as per sanctioned plan and highlight on the plan. 8.In building details, No. of Basement/ Plinth/ Podium/ Sanctioned Floors/Stilts/Parking/Apartment Type/ Carpet Area/No of Apartments, does not tally with the sanctioned plan, kindly correct as per the sanctioned plan., 9.Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan 1.In project details, plot No / CTS No. / Survey No. /Final Plot No. does not tally with CC. Kindly, correct as mention in CC. 2.Upload readable sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority., 3.The application will be scrutinized only on uploading the readable sanctioned layout/ building plans without splitting. 4.Upload Revalidated CC / plinth checking certificate/Appendix F as per Regulation No.2.8.4 of UDPCR-2020, also upload FORM 1, FORM 2 and update the task activity accordingly., 5.Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly, note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed. 6.In Form B mention CTS No/survey No./ Final plot No.as per sanctioned CC and Identification of the bldg./ wing as per sanction plan 7.Sanctioned FSI of the project applied for registration (Sanctioned Built-up Area in sq. mt.) does not tally with sanctioned plan. Kindly correct as per sanctioned plan and highlight on the plan. 8.In building details, No. of Basement/ Plinth/ Podium/ Sanctioned Floors/Stilts/Parking/Apartment Type/ Carpet Area/No of Apartments, does not tally with the sanctioned plan, kindly correct as per the sanctioned plan., 9.Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan"
2024-10-10 15:27:45,Shraddha Presidency,Done,Done,Certificate Generated,Certificate Generated,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Shivmangal Residency,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Shraddha Imperia,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Bhandup Siddhivinayak CHS Ltd,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Vanita Sadan CHS,Pending,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:29:09,Netra Residency,Done,Rs.5915.75/- Penalty Payment Pending Remark:MahaRERA order No. 32/2022 dated 01.07.2022.Make Penalty Payment,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative."
2024-10-10 15:29:09,Netra Residency,Done,Pending,Not Submited,Not Submited,Not Submited,No Complaint Found,"Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative."
2024-10-10 15:30:28,Gurukrupa Residency,Pending,Pending,Not Submited,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:30:28,GURUKRUPA RESIDENCY,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO. A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO. A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO. A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO."
2024-10-10 15:32:04,Triveni Heights,Pending,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Upload Redevelopment agreement in other legal tab.2. Upload Agreement to Lease in other legal tab.3. Provide dated Deviation Sheet for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. 1)Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2)Please refer MahaRERA Order No.50/2024 dated 10.01.2024, it is mandatory to upload Declaration-Cum-Undertaking in Annexure-'A'. 1. Upload Redevelopment agreement in other legal tab.2. Upload Agreement to Lease in other legal tab.3. Provide dated Deviation Sheet for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. 1)Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2)Please refer MahaRERA Order No.50/2024 dated 10.01.2024, it is mandatory to upload Declaration-Cum-Undertaking in Annexure-'A'."
